"meet_location","meet_wday","meet_mday","meet_year","racecount","race_number","horse_number","horse_name","horse_sire","horse_trainer","horse_jockey","horse_odds","horse_odds_decimal","horse_place","purse","time_frac1","time_frac2","time_frac3","time_frac4","time_frac5","time_final","track_length","track_type","race_class","dist_frac1","dist_frac2","dist_frac3","dist_frac4","dist_frac5"
"Woodbine","Sunday","August 21","2022",3,3,"5","Golden Vision","Court Vision","Tino Attard","Rafael Manuel Hernandez","6/1",6,3,125000,23.05,46.25,69.88,NA,NA,76.14,"6 1/2F","All Weather Track","Sweet Briar Too S.","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",3,3,"6","La Libertee","Constitution","Mark E. Casse","Emma-Jayne Wilson","7/2",3.5,5,125000,23.05,46.25,69.88,NA,NA,76.14,"6 1/2F","All Weather Track","Sweet Briar Too S.","1/4","1/2","3/4","",""
"Woodbine","Sunday","August 21","2022",4,4,"1","Gaston","Hard Spun","Kevin Attard","Kazushi Kimura","3/1",3,1,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"2","Colonel Mustard","Lea","Martin Drexler","Sahin Civaci","7/2",3.5,4,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"3","Mr Nobility","Noble Mission (GB)","Josie Carroll","Luis Contreras","6/1",6,3,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"4","The Thunderer","Blame","Josie Carroll","Justin Stein","12/1",12,5,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"5","Opus North","Candy Ride (ARG)","Layne S. Giliforte","Keveh Nicholls","8/1",8,5,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"6","Stronger Together","Liam's Map","Sid C. Attard","Rafael Manuel Hernandez","12/1",12,5,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"7","Trizmo","Giant Gizmo","Josie Carroll","Daisuke Fukumoto","10/1",10,5,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"8","Flawless Ruler","Honor Code","William Tharrenos","David Moran","20/1",20,5,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"9","He's Got Soul","Perfect Soul (IRE)","Ian Black","Emma-Jayne Wilson","12/1",12,5,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",4,4,"10","Guard of Honour","Honor Code","Gail Cox","Declan Carroll","9/2",4.5,2,123200,24.3,48.6,72.75,97,NA,103.29,"1 1/16M","Turf","Maiden Special Weight","1/4","1/2","3/4","MILE",""
"Woodbine","Sunday","August 21","2022",5,5,"1","Jungle Fighter","Animal Kingdom","Mike A. Dunslow","Jason Hoyte","15/1",15,NA,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"2","Seguimi","Victor's Cry","Stuart C. Simon","Rafael Manuel Hernandez","6/1",6,5,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"3","Star Chamber","Mizzen Mast","Zeljko Krcmar","Daisuke Fukumoto","15/1",15,NA,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
"Woodbine","Sunday","August 21","2022",5,5,"4","Create Again","Creative Cause","Martin Drexler","Sahin Civaci","8/1",8,2,53200,24.25,49.92,74.58,87.14,NA,99.69,"1M","Inner turf","$25,000 Claiming","1/4","1/2","3/4","7/8",""
